,Win_Loss,FG,FGA,FG_Percent,3P,Differential,3PA,3P_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Postseason,Opp_Def_Eff,Opp_TS,Opp_TO_per_POS,Opp_3PT_Made,Over/Under
213,1,10.0,25.0,0.4,3.0,7,12.0,0.25,6.0,9.0,0.667,0.0,3.0,3.0,7.0,1.0,1.0,3.0,0.0,29.0,18.8,5.0,0,1.092,1.148,0.143,11.6,1
214,0,6.0,21.0,0.286,0.0,-8,10.0,0.0,6.0,6.0,1.0,0.0,3.0,3.0,7.0,2.0,0.0,3.0,1.0,18.0,10.1,-14.0,0,1.093,1.131,0.134,12.2,0
215,0,10.0,21.0,0.476,7.0,-6,13.0,0.538,7.0,8.0,0.875,1.0,3.0,4.0,8.0,0.0,0.0,1.0,4.0,34.0,27.5,-26.0,0,1.027,1.102,0.121,11.3,1
216,0,7.0,17.0,0.412,4.0,-8,13.0,0.308,13.0,14.0,0.929,0.0,2.0,2.0,9.0,1.0,1.0,3.0,4.0,31.0,25.5,-5.0,0,1.063,1.106,0.151,11.7,1
217,0,10.0,20.0,0.5,5.0,-6,12.0,0.417,8.0,12.0,0.667,1.0,4.0,5.0,7.0,1.0,0.0,2.0,1.0,33.0,26.8,3.0,0,1.114,1.145,0.149,11.6,1
218,0,5.0,20.0,0.25,1.0,-24,8.0,0.125,0.0,0.0,,1.0,9.0,10.0,8.0,1.0,0.0,2.0,1.0,11.0,6.6,-10.0,0,1.101,1.143,0.134,13.3,0
219,1,10.0,20.0,0.5,2.0,19,6.0,0.333,13.0,14.0,0.929,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,35.0,27.2,29.0,0,1.105,1.181,0.152,12.4,1
220,0,11.0,22.0,0.5,6.0,-11,12.0,0.5,6.0,7.0,0.857,0.0,1.0,1.0,12.0,3.0,0.0,3.0,1.0,34.0,30.9,-13.0,0,1.042,1.118,0.137,12.9,1
221,1,5.0,11.0,0.455,4.0,2,7.0,0.571,6.0,6.0,1.0,0.0,4.0,4.0,9.0,0.0,2.0,4.0,0.0,20.0,19.2,8.0,0,1.033,1.074,0.159,13.2,0
222,0,6.0,18.0,0.333,3.0,-14,10.0,0.3,5.0,6.0,0.833,2.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,20.0,17.0,-15.0,0,1.092,1.148,0.143,11.6,0
223,0,10.0,20.0,0.5,3.0,-21,8.0,0.375,3.0,3.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,2.0,26.0,17.0,-12.0,0,1.019,1.054,0.132,14.1,0
224,1,10.0,16.0,0.625,5.0,3,10.0,0.5,5.0,7.0,0.714,0.0,3.0,3.0,9.0,0.0,0.0,4.0,1.0,30.0,24.8,-7.0,0,1.09,1.139,0.144,12.4,1
225,1,8.0,20.0,0.4,1.0,10,8.0,0.125,8.0,8.0,1.0,1.0,6.0,7.0,7.0,2.0,0.0,1.0,3.0,25.0,21.4,4.0,0,1.066,1.119,0.152,12.2,0
226,0,13.0,25.0,0.52,3.0,-8,10.0,0.3,5.0,7.0,0.714,0.0,1.0,1.0,10.0,2.0,0.0,4.0,1.0,34.0,25.8,-5.0,0,1.072,1.113,0.115,12.4,1
227,0,10.0,23.0,0.435,5.0,-13,12.0,0.417,9.0,12.0,0.75,0.0,0.0,0.0,6.0,1.0,0.0,4.0,2.0,34.0,21.1,-16.0,0,1.039,1.098,0.137,11.9,1
228,1,17.0,37.0,0.459,11.0,5,20.0,0.55,16.0,16.0,1.0,0.0,10.0,10.0,7.0,1.0,0.0,2.0,1.0,61.0,48.4,13.0,0,1.066,1.162,0.15,13.5,1
229,0,16.0,28.0,0.571,8.0,-8,15.0,0.533,7.0,7.0,1.0,0.0,6.0,6.0,8.0,1.0,0.0,5.0,0.0,47.0,37.2,-2.0,0,1.072,1.113,0.115,12.4,1
230,1,14.0,23.0,0.609,8.0,10,12.0,0.667,14.0,16.0,0.875,0.0,6.0,6.0,13.0,1.0,0.0,1.0,0.0,50.0,49.6,19.0,0,1.032,1.093,0.143,11.5,1
231,1,11.0,21.0,0.524,6.0,13,12.0,0.5,8.0,10.0,0.8,1.0,9.0,10.0,11.0,1.0,0.0,8.0,3.0,36.0,27.8,6.0,0,1.066,1.119,0.152,12.2,1
232,1,17.0,30.0,0.567,7.0,8,12.0,0.583,7.0,8.0,0.875,1.0,8.0,9.0,10.0,2.0,0.0,1.0,1.0,48.0,44.1,12.0,0,1.063,1.106,0.151,11.7,1
233,1,17.0,29.0,0.586,9.0,17,15.0,0.6,8.0,8.0,1.0,0.0,2.0,2.0,12.0,1.0,0.0,2.0,2.0,51.0,44.7,17.0,0,1.027,1.102,0.121,11.3,1
