,Win_Loss,FG,FGA,FG_Percent,3P,Differential,3PA,3P_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Plus_Minus,Postseason,Opp_Def_Eff,Opp_TS,Opp_TO_per_POS,Opp_3PT_Made,Over/Under
218,0,4.0,9.0,0.444,1.0,-7,5.0,0.2,0.0,0.0,,1.0,6.0,7.0,1.0,0.0,1.0,3.0,3.0,9.0,4.0,3.0,0,1.065,1.159,0.177,11.2,0
219,0,4.0,13.0,0.308,2.0,-7,8.0,0.25,0.0,0.0,,1.0,6.0,7.0,1.0,0.0,2.0,0.0,4.0,10.0,5.5,-8.0,0,1.063,1.119,0.152,12.2,0
220,0,4.0,9.0,0.444,1.0,-9,6.0,0.167,1.0,1.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,2.0,5.0,10.0,6.9,-1.0,0,1.056,1.098,0.137,11.9,0
221,0,8.0,12.0,0.667,6.0,-4,10.0,0.6,2.0,3.0,0.667,0.0,7.0,7.0,0.0,0.0,0.0,4.0,6.0,24.0,14.1,16.0,0,1.088,1.155,0.148,12.4,1
222,0,3.0,7.0,0.429,1.0,-12,4.0,0.25,5.0,6.0,0.833,0.0,5.0,5.0,0.0,3.0,2.0,2.0,4.0,12.0,10.2,-10.0,0,1.048,1.088,0.134,12.3,1
223,0,6.0,15.0,0.4,3.0,-4,9.0,0.333,0.0,0.0,,3.0,5.0,8.0,2.0,3.0,1.0,1.0,3.0,15.0,13.4,-20.0,0,1.088,1.155,0.148,12.4,1
224,0,,,,,-7,,,,,,,,,,,,,,,,,0,1.111,1.154,0.139,11.9,0
225,1,5.0,9.0,0.556,4.0,10,7.0,0.571,0.0,0.0,,2.0,6.0,8.0,4.0,2.0,2.0,3.0,4.0,14.0,14.5,16.0,0,1.036,1.106,0.151,11.7,1
226,0,4.0,10.0,0.4,1.0,-36,7.0,0.143,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,9.0,4.7,-8.0,0,1.081,1.145,0.149,11.6,0
227,0,5.0,12.0,0.417,4.0,-1,10.0,0.4,0.0,0.0,,2.0,3.0,5.0,0.0,2.0,1.0,1.0,4.0,14.0,10.0,4.0,0,1.073,1.102,0.121,11.3,1
228,1,3.0,11.0,0.273,2.0,11,8.0,0.25,4.0,5.0,0.8,0.0,7.0,7.0,3.0,3.0,4.0,2.0,5.0,12.0,11.1,15.0,0,1.034,1.084,0.143,11.7,1
229,1,7.0,13.0,0.538,5.0,30,10.0,0.5,1.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,4.0,0.0,1.0,20.0,18.7,31.0,0,1.103,1.162,0.15,13.5,1
230,1,3.0,14.0,0.214,2.0,10,12.0,0.167,0.0,0.0,,1.0,11.0,12.0,2.0,0.0,3.0,0.0,4.0,8.0,5.3,3.0,0,1.073,1.102,0.121,11.3,0
231,1,4.0,10.0,0.4,3.0,11,8.0,0.375,0.0,0.0,,0.0,7.0,7.0,1.0,1.0,4.0,1.0,2.0,11.0,10.4,-5.0,0,1.094,1.143,0.134,13.3,0
232,1,3.0,8.0,0.375,1.0,28,5.0,0.2,3.0,3.0,1.0,1.0,5.0,6.0,1.0,1.0,3.0,1.0,5.0,10.0,8.6,17.0,0,1.07,1.114,0.139,12.9,0
233,1,6.0,12.0,0.5,4.0,1,10.0,0.4,0.0,0.0,,1.0,15.0,16.0,0.0,1.0,3.0,3.0,0.0,16.0,15.3,1.0,0,1.034,1.084,0.143,11.7,1
234,0,7.0,14.0,0.5,6.0,-2,11.0,0.545,0.0,0.0,,2.0,11.0,13.0,2.0,2.0,1.0,0.0,4.0,20.0,20.2,8.0,0,1.094,1.143,0.134,13.3,1
235,0,1.0,4.0,0.25,0.0,-15,3.0,0.0,1.0,2.0,0.5,1.0,8.0,9.0,1.0,1.0,2.0,0.0,5.0,3.0,4.4,-24.0,0,1.048,1.088,0.134,12.3,0
236,0,9.0,16.0,0.563,7.0,-9,13.0,0.538,0.0,0.0,,2.0,4.0,6.0,0.0,1.0,2.0,3.0,3.0,25.0,18.2,-23.0,0,,,,,1
237,0,3.0,10.0,0.3,0.0,-20,4.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,4.0,4.0,3.0,7.0,1.8,-21.0,0,1.065,1.128,0.144,12.5,0
238,1,4.0,9.0,0.444,1.0,6,4.0,0.25,1.0,2.0,0.5,2.0,5.0,7.0,1.0,1.0,2.0,2.0,5.0,10.0,6.9,19.0,0,1.087,1.148,0.143,11.6,0
